ID,price
143332,57858.055
28423,112811.47
28103,94947.07
106424,1596.2799
131956,7910.9683
104168,4983.9355
84710,72532.3
47148,36729.043
109086,15264.569
38564,30645.531
149899,47960.242
142786,71956.04
112470,18216.572
116755,51115.387
77001,14040.386
65836,3953.9727
140731,7621.013
64633,36374.715
25632,7049.7354
61151,13295.103
110265,7535.17
124734,13081.438
139328,66705.05
17408,25344.22
113078,125253.33
27431,37947.51
86160,30752.785
90240,3423.5542
125746,7460.972
67233,21884.932
12727,1868.3141
27297,106201.02
100107,31752.004
78057,17359.303
120699,4356.558
103773,18120.297
83526,4985.0493
117882,23053.719
95656,178659.69
115883,157049.05
26964,103399.266
100993,20705.115
78237,36610.773
25657,3880.6199
47813,12683.391
22145,16527.922
90629,111801.09
84591,45398.996
124399,13482.088
28464,10423.418
128984,31792.248
124945,24689.914
112601,71841.36
26603,2170.3381
86261,131297.39
109053,28924.307
80297,12984.008
8340,5598.2383
22349,9135.693
122786,39588.914
144859,4020.1245
66345,23770.848
2404,6871.545
42737,12835.527
65365,1419.6609
44842,6463.7314
75876,38254.05
138784,5158.9507
107468,25742.531
52770,10528.941
94727,18407.906
83223,26241.02
31989,82189.47
76357,2990.8262
38048,15713.449
9150,17811.531
115436,9337.708
136105,30146.549
85939,37899.98
68193,3493.1987
80527,306931.06
21790,18877.902
82148,18881.799
20485,90870.75
37293,19546.828
46932,73366.52
90941,14340.841
57365,39159.695
22635,15597.899
73830,69421.1
41479,13752.287
60507,1741.822
137274,6235.896
58305,49691.684
101931,2694.2754
43195,87636.14
116633,41211.38
46402,7567.693
63165,8482.06
12219,21844.17
15562,106324.9
33702,40669.973
3982,50761.812
55637,75787.3
122731,34568.05
51374,6344.357
8199,8016.7495
137197,5181.408
106088,16015.533
135145,34392.58
145045,1260.8392
87997,5123.1045
44903,38390.14
108112,11264.018
25933,14434.874
146773,7579.5864
55470,31401.941
50249,4846.969
37988,78274.24
53408,13052.998
141587,15771.231
23763,5519.0503
90583,12067.562
19691,5702.239
25354,56312.574
62963,18144.615
68954,6193.74
97372,38228.613
56003,127111.94
83515,26146.244
35304,20938.908
63270,79731.29
1218,64748.39
54427,29694.684
94965,3135.2559
16127,55878.734
11747,51863.48
64979,30499.697
63750,55293.85
112386,119410.82
135958,7266.8203
146866,15165.263
81139,1631.7734
40148,138100.78
135737,69313.7
10916,181001.52
141077,7321.2534
110386,13688.152
24837,98272.71
19398,31172.385
8577,15507.558
39185,34556.227
129153,12920.409
7858,155100.23
30121,25387.816
60169,27213.834
119343,10799.145
139982,34220.688
